Wind_turbine_name,Ws_avg,P_avg
R80721,0.85,0.0
R80721,0.71,0.0
R80721,8.21,1010.26
R80721,4.8400002,134.75
R80721,5.7399998,149.48
R80721,6.21,340.76001
R80721,10.52,1675.8101
R80721,5.23,165.42999
R80721,5.96,300.44
R80721,3.22,19.200001
R80721,2.22,-1.27
R80721,6.8899999,613.94
R80721,6.5599999,483.76001
R80721,5.6999998,208.00999
R80721,9.2600002,1272.52
R80721,3.72,31.67
R80721,10.11,1532.03
R80721,7.3600001,709.33002
R80721,13.14,1986.66
R80721,4.8000002,96.360001
R80721,4.6100001,94.68
R80721,4.6300001,111.86
R80721,4.7199998,99.949997
R80721,5.52,214.25
R80721,6.3600001,483.82999
R80721,7.4899998,827.09998
R80721,6.8699999,539.85999
R80721,5.6300001,218.03
R80721,4.1100001,65.699997
R80721,12.12,1926.17
R80721,6.2399998,414.57999
R80721,6.9200001,533.07001
R80721,5.34,162.55
R80721,5.02,117.72
R80721,2.1300001,-1.97
R80721,4.67,84.37
R80721,4.86,109.96
R80721,5.57,204.89
R80721,2.63,0.0
R80721,0.57999998,-1.4400001
R80721,3.62,27.44
R80721,6.3800001,446.63
R80721,2.74,0.0
R80721,2.39,0.0
R80721,2.67,0.0
R80721,2.89,0.0
R80721,5.5900002,256.87
R80721,4.79,81.86
R80721,6.08,303.24
R80721,3.1600001,6.8099999
R80721,6.8099999,573.19
R80721,6.1700001,403.34
R80721,5.9899998,270.94
R80721,2.04,-4.1100001
R80721,4.4899998,78.709999
R80721,4.8800001,131.09
R80721,4.4699998,70.57
R80721,4.8299999,128.48
R80721,5.0700002,130.84
R80721,4.29,49.779999
R80721,3.78,20.299999
R80721,3.4400001,17.459999
R80721,6.5799999,446.01999
R80721,4.5999999,107.65
R80721,4.6900001,82.230003
R80721,6.35,435.36
R80721,6.6,455.61
R80721,3.98,29.469999
R80721,6.43,415.37
R80721,5.94,256.81
R80721,7.19,623.29
R80721,7.83,763.88
R80721,6.2399998,400.23001
R80721,10.41,1501.48
R80721,6.71,617.29999
R80721,10.36,1432.53
R80721,5.52,212.7
R80721,6.5,402.13
R80721,4.22,37.45
R80721,3.22,4.2600002
R80721,4.31,49.19
R80721,3.93,36.57
R80721,6.6199999,564.84998
R80721,2.47,0.0
R80721,8.0,835.6
R80721,1.51,0.0
R80721,4.4099998,70.489998
R80721,5.2399998,148.14999
R80721,3.07,0.0
R80721,4.5599999,83.419998
R80721,3.41,0.0
R80721,5.2600002,137.67999
R80721,1.76,-1.4299999
R80721,4.96,112.59
R80721,4.9400001,149.57001
R80721,6.48,485.95001
R80721,6.21,374.9
R80721,2.74,-1.36
R80721,5.76,239.39
R80721,6.79,510.03
R80721,4.8499999,124.33
R80721,6.57,433.07
R80721,3.8299999,45.75
R80721,6.88,547.81
R80721,8.92,984.87
R80721,7.13,587.61
R80721,0.40000001,-1.16
R80721,6.77,547.0
R80721,6.57,485.47
R80721,6.0799999,322.47
R80721,7.28,611.27
R80721,5.28,176.44
R80721,9.21,1111.48
R80721,5.25,178.47
R80721,5.5900002,257.48999
R80721,5.08,106.67
R80721,4.44,69.74
R80721,7.550000199999999,679.01001
R80721,4.18,60.3
R80721,5.3200002,178.57001
R80721,2.11,0.0
R80721,8.4099998,944.25
R80721,3.92,42.03
R80721,7.1199999,640.20001
R80721,4.99,124.25
R80721,1.26,0.0
R80721,0.0,0.0
R80721,0.0,0.0
R80721,2.28,0.0
R80721,3.77,42.389999
R80721,2.3,0.0
R80721,3.9100001,31.059999
R80721,2.32,0.0
R80721,6.5700002,474.81
R80721,8.0799999,772.46002
R80721,5.0,94.21
R80721,12.68,1874.5
R80721,5.65,201.36
R80721,2.1800001,-7.4200001
R80721,5.9499998,760.91998
R80721,6.6,498.49
R80721,2.3199999,-7.27
R80721,7.79,818.32
R80721,10.74,1600.21
R80721,6.95,548.22
R80721,0.11,-3.27
R80721,8.1499996,968.54999
R80721,1.36,-2.99
R80721,5.8800001,277.14001
R80721,7.77,789.23
R80721,7.9000001,883.69
R80721,8.46,982.72
R80721,8.0,913.88
R80721,5.8400002,308.62
R80721,5.29,202.07001
R80721,9.2,1133.1
R80721,10.9,1846.62
R80721,5.5999999,275.95999
R80721,5.6999998,306.13
R80721,9.37,1118.02
R80721,9.32,1334.02
R80721,5.1199999,194.71001
R80721,5.2399998,175.5
R80721,5.5,266.06
R80721,9.93,1373.77
R80721,4.9499998,177.14
R80721,8.97,969.75
R80721,2.9200001,19.610001
R80721,9.39,1152.82
R80721,2.5899999,-3.22
R80721,5.04,157.42
R80721,3.78,31.84
R80721,1.9,-3.3900001
R80721,5.0999999,154.78
R80721,10.3,1401.84
R80721,3.01,-3.4400001
R80721,6.1399999,400.53
R80721,6.72,429.82
R80721,7.0,586.6
R80721,4.46,94.690002
R80721,5.85,286.06
R80721,6.69,559.04
R80721,4.3600001,77.330002
R80721,5.98,307.39001
R80721,4.8,112.91
R80721,9.5900002,1422.96
R80721,5.4099998,185.88
R80721,5.8100000000000005,277.09
R80721,11.66,1913.63
R80721,3.5599999,20.58
R80721,5.35,148.91
R80721,3.4300001,14.59
R80721,5.7600002,300.48001
R80721,5.79,338.31
R80721,5.96,330.60001
R80721,4.98,137.29
R80721,5.5900002,164.53
R80721,5.9099998,326.34
R80721,5.4000001,211.75999
R80721,4.88,121.37
R80721,5.8200002,282.78
R80721,4.02,39.68
R80721,6.3400002,401.07999
R80721,3.94,44.96
R80721,7.73,977.65997
R80721,0.8899999900000001,-0.83999997
R80721,5.13,138.68
R80721,6.71,586.67999
R80721,6.69,556.1
R80721,1.34,-7.3499999
R80721,5.08,153.37
R80721,6.73,576.70001
R80721,5.02,116.19
R80721,5.28,200.19
R80721,5.5999999,286.48999
R80721,3.43,12.87
R80721,0.34999999,-3.78
R80721,5.1300001,155.14999
R80721,5.3099999,219.27
R80721,6.41,465.0
R80721,3.98,48.220001
R80721,6.48,423.54001
R80721,6.75,547.07001
R80721,5.1300001,166.48
R80721,0.34999999,-1.03
R80721,6.21,376.23
R80721,6.3000002,329.29999
R80721,6.8800001,616.69
R80721,5.8299999,374.12
R80721,4.4699998,83.510002
R80721,5.78,302.56
R80721,5.3299999,246.25
R80721,3.55,6.0
R80721,3.8900001,35.830002
R80721,5.2399998,191.03999
R80721,6.3200002,407.20999
R80721,6.25,357.53
R80721,5.4899998,228.2
R80721,4.5799999,90.410004
R80721,7.39,598.2
R80721,6.6399999,500.72
R80721,0.0,-2.24
R80721,5.4299998,188.97
R80721,6.9,586.11
R80721,5.27,245.02
